BLOCO,CONTRATO,OPERADOR,CONTRATADOS,BACIA,AMBIENTE,ÁREA (MIL km²),RODADA,PERÍODO,PRESENÇA PAD,DATA ASSINATURA CONTRATO,DATA INÍCIO SUSPENSÃO,1º PE VENCIMENTO,2º PE VENCIMENTO,3º PE VENCIMENTO,ÚLTIMO PAD VENCIMENTO,FASE EXPLORATÓRIA VENCIMENTO,UTs COMPROMISSADAS,QTD POÇOS PERFURADOS,POÇOS PERFURADOS
2_IRMAOS,48610006635201804,Petrobras,"*Petrobras - 45%, BP Energy - 30%, Equinor Brasil - 25%",Campos,MAR,1.41426,PP4,1º PE,NÃO HÁ/HOUVE PAD,2018-12-17 00:00:00,,2025-12-17 00:00:00,,,,2025-12-17 00:00:00,0,1,1-BRSA-1384-RJS
ALTO_CF_CE,48610012962201714,Petrobras,"*Petrobras - 50%, BP Energy - 50%",Campos,MAR,3.674369,PP3,1º PE,NÃO HÁ/HOUVE PAD,2018-01-31 00:00:00,,2025-01-31 00:00:00,,,,2025-01-31 00:00:00,0,2,"1-BRSA-1383-RJS, 1-BRSA-1383A-RJS"
ALTO_CF_O,48610012963201751,Shell Brasil,"*Shell Brasil - 55%, QatarEnergy - 25%, CNOOC Petroleum - 20%",Santos,MAR,1.382999,PP3,1º PE,NÃO HÁ/HOUVE PAD,2018-01-31 00:00:00,,2025-10-31 00:00:00,,,,2025-10-31 00:00:00,0,1,1-SHEL-31-RJS
AM-T-62,48610204665202171,Eneva,*Eneva - 100%,Amazonas,TERRA,2.8115799999999997,OP2_BE,1º PE,NÃO HÁ/HOUVE PAD,2021-06-28 00:00:00,,2029-06-28 00:00:00,,,,2029-06-28 00:00:00,3138,0,
AM-T-84,48610204666202116,Eneva,*Eneva - 100%,Amazonas,TERRA,2.52941,OP2_BE,1º PE,HÁ/HOUVE PAD,2021-06-28 00:00:00,,2029-06-28 00:00:00,,,27/11/2024,2029-06-28 00:00:00,4138,3,"1-ENV-25D-AM, 3-ENV-33D-AM, 3-ENV-35D-AM"
AM-T-85,48610204667202161,Eneva,*Eneva - 100%,Amazonas,TERRA,1.8833,OP2_BE,1º PE,HÁ/HOUVE PAD,2021-06-28 00:00:00,,2030-12-28 00:00:00,,,27/11/2024,2030-12-28 00:00:00,4138,3,"1-ENV-27D-AM, 1-ENV-31D-AM, 3-ENV-39D-AM"
ARAM,48610220938201919,Petrobras,"*Petrobras - 80%, CNODC Brasil - 20%",Santos,MAR,4.4756800000000005,PP6,1º PE,HÁ/HOUVE PAD,2020-03-30 00:00:00,,2027-03-30 00:00:00,,,30/12/2026,2027-03-30 00:00:00,0,1,1-BRSA-1381-SPS
BAR-M-175,486100079662004,Petrobras,"*Petrobras - 60%, BP Energy - 40%",Barreirinhas,MAR,0.769235,BID6,SUSPENSO,NÃO HÁ/HOUVE PAD,2004-11-24 00:00:00,2014-02-05 00:00:00,2010-11-24 00:00:00,2014-02-18 00:00:00,,,2014-02-18 00:00:00,8,0,
BAR-M-215,48610005426201321,Shell Brasil,"*Shell Brasil - 65%, PTTEP Brasil - 25%, Mitsui E&P Brasil - 10%",Barreirinhas,MAR,0.769178,BID11,SUSPENSO,NÃO HÁ/HOUVE PAD,2013-08-06 00:00:00,2019-10-08 00:00:00,2019-11-03 00:00:00,2022-11-03 00:00:00,,,2022-11-03 00:00:00,280,0,
BAR-M-217,48610005491201356,Shell Brasil,"*Shell Brasil - 65%, PTTEP Brasil - 25%, Mitsui E&P Brasil - 10%",Barreirinhas,MAR,0.769178,BID11,SUSPENSO,NÃO HÁ/HOUVE PAD,2013-08-06 00:00:00,2019-10-08 00:00:00,2019-11-03 00:00:00,2022-11-03 00:00:00,,,2022-11-03 00:00:00,280,0,
BAR-M-252,48610005424201331,Shell Brasil,"*Shell Brasil - 65%, PTTEP Brasil - 25%, Mitsui E&P Brasil - 10%",Barreirinhas,MAR,0.769106,BID11,SUSPENSO,NÃO HÁ/HOUVE PAD,2013-08-06 00:00:00,2019-10-08 00:00:00,2019-11-03 00:00:00,2022-11-03 00:00:00,,,2022-11-03 00:00:00,1280,0,
BAR-M-254,48610005633201385,Shell Brasil,"*Shell Brasil - 65%, PTTEP Brasil - 25%, Mitsui E&P Brasil - 10%",Barreirinhas,MAR,0.769106,BID11,SUSPENSO,NÃO HÁ/HOUVE PAD,2013-08-06 00:00:00,2019-10-08 00:00:00,2019-11-03 00:00:00,2022-11-03 00:00:00,,,2022-11-03 00:00:00,280,0,
BAR-M-292,48610005454201348,Chariot Brasil,*Chariot Brasil - 100%,Barreirinhas,MAR,0.192261,BID11,1º PE,NÃO HÁ/HOUVE PAD,2013-08-30 00:00:00,,2024-03-15 00:00:00,2027-03-15 00:00:00,,,2027-03-15 00:00:00,121,0,
BAR-M-293,48610005423201397,Chariot Brasil,*Chariot Brasil - 100%,Barreirinhas,MAR,0.192261,BID11,1º PE,NÃO HÁ/HOUVE PAD,2013-08-30 00:00:00,,2024-03-16 00:00:00,2027-03-16 00:00:00,,,2027-03-16 00:00:00,121,0,
BAR-M-298,48610005429201364,Shell Brasil,*Shell Brasil - 100%,Barreirinhas,MAR,0.769021,BID11,SUSPENSO,NÃO HÁ/HOUVE PAD,2013-08-06 00:00:00,2019-10-08 00:00:00,2019-11-03 00:00:00,2022-11-03 00:00:00,,,2022-11-03 00:00:00,280,0,
BAR-M-300,48610005451201312,Shell Brasil,"*Shell Brasil - 50%, Petrobras - 40%, Galp Energia Brasil - 10%",Barreirinhas,MAR,0.769021,BID11,SUSPENSO,NÃO HÁ/HOUVE PAD,2013-08-30 00:00:00,2019-10-08 00:00:00,2019-11-27 00:00:00,2022-11-27 00:00:00,,,2022-11-27 00:00:00,280,0,
BAR-M-314,48610005495201334,Chariot Brasil,*Chariot Brasil - 100%,Barreirinhas,MAR,0.192249,BID11,1º PE,NÃO HÁ/HOUVE PAD,2013-08-30 00:00:00,,2024-03-16 00:00:00,2027-03-16 00:00:00,,,2027-03-16 00:00:00,121,0,
BAR-M-340,48610005432201388,Shell Brasil,*Shell Brasil - 100%,Barreirinhas,MAR,0.7689210000000001,BID11,SUSPENSO,NÃO HÁ/HOUVE PAD,2013-08-06 00:00:00,2019-10-08 00:00:00,2019-11-03 00:00:00,2022-11-03 00:00:00,,,2022-11-03 00:00:00,1280,0,
BAR-M-342,48610005490201310,Shell Brasil,"*Shell Brasil - 50%, Petrobras - 40%, Galp Energia Brasil - 10%",Barreirinhas,MAR,0.7689210000000001,BID11,SUSPENSO,NÃO HÁ/HOUVE PAD,2013-08-30 00:00:00,2019-10-08 00:00:00,2019-11-27 00:00:00,2022-11-27 00:00:00,,,2022-11-27 00:00:00,1280,0,
BAR-M-344,48610005447201346,Shell Brasil,"*Shell Brasil - 50%, Petrobras - 40%, Galp Energia Brasil - 10%",Barreirinhas,MAR,0.7689210000000001,BID11,SUSPENSO,NÃO HÁ/HOUVE PAD,2013-08-30 00:00:00,2019-10-08 00:00:00,2019-11-27 00:00:00,2022-11-27 00:00:00,,,2022-11-27 00:00:00,3300,0,
BAR-M-346,48610005497201323,BP Energy,"*BP Energy - 50%, TotalEnergies EP - 50%",Barreirinhas,MAR,0.7689210000000001,BID11,SUSPENSO,NÃO HÁ/HOUVE PAD,2013-08-06 00:00:00,2019-11-03 00:00:00,2019-11-03 00:00:00,2022-11-03 00:00:00,,,2022-11-03 00:00:00,2100,0,
BAR-M-387,48610005442201313,3R Petroleum,*3R Petroleum - 100%,Barreirinhas,MAR,0.192209,BID11,1º PE,NÃO HÁ/HOUVE PAD,2013-08-30 00:00:00,,2024-03-28 00:00:00,2027-03-28 00:00:00,,,2027-03-28 00:00:00,122,0,
BAR-M-388,48610005461201340,Shell Brasil,"*Shell Brasil - 50%, Petrobras - 40%, Galp Energia Brasil - 10%",Barreirinhas,MAR,0.192209,BID11,SUSPENSO,NÃO HÁ/HOUVE PAD,2013-08-30 00:00:00,2019-10-08 00:00:00,2019-11-27 00:00:00,2022-11-27 00:00:00,,,2022-11-27 00:00:00,1123,0,
BLC_3MARIA,48610006636201841,Petrobras,"*Petrobras - 30%, Shell Brasil - 40%, Chevron Brasil Óleo - 30%",Santos,MAR,0.82145,PP4,1º PE,NÃO HÁ/HOUVE PAD,2018-12-17 00:00:00,,2025-12-17 00:00:00,,,,2025-12-17 00:00:00,0,1,1-BRSA-1382D-RJS
BLC_UIRAPR,48610006637201895,Petrobras,"*Petrobras - 30%, Equinor Brasil - 28%, ExxonMobil Brasil - 28%, Petrogal Brasil - 14%",Santos,MAR,1.2853299999999999,PP4,1º PE,NÃO HÁ/HOUVE PAD,2018-12-17 00:00:00,,2025-12-17 00:00:00,,,,2025-12-17 00:00:00,0,3,"1-BRSA-1373-SPS, 1-BRSA-1373A-SPS, 1-BRSA-1373B-SPS"
BM-BAR-1,486100107302001,Petrobras,*Petrobras - 100%,Barreirinhas,MAR,0.57672,BID3,SUSPENSO,HÁ/HOUVE PAD,2001-08-29 00:00:00,2015-06-01 00:00:00,2004-08-29 00:00:00,2012-07-18 00:00:00,2014-04-20 00:00:00,14/12/2018,2018-12-14 00:00:00,0,2,"1-BRSA-1015-MAS, 1-BRSA-729-MAS"
BM-BAR-3,486100092122002,Petrobras,"*Petrobras - 60%, BP Energy - 40%",Barreirinhas,MAR,0.12821000000000002,BID4,SUSPENSO,HÁ/HOUVE PAD,2002-09-02 00:00:00,2012-05-14 00:00:00,2005-09-02 00:00:00,2009-06-02 00:00:00,2010-09-02 00:00:00,23/11/2012,2012-11-23 00:00:00,0,2,"1-DEV-14-MAS, 1-DEV-14A-MAS"
BM-PAMA-3,486100107092001,Petrobras,*Petrobras - 100%,Pará - Maranhão,MAR,0.833289,BID3,SUSPENSO,HÁ/HOUVE PAD,2001-08-29 00:00:00,2019-10-08 00:00:00,2004-08-29 00:00:00,2011-11-30 00:00:00,2012-04-17 00:00:00,15/12/2020,2020-12-15 00:00:00,0,1,1-BRSA-903-PAS
BM-S-24,486100107332001,Petrobras,"*Petrobras - 80%, Petrogal Brasil - 20%",Santos,MAR,0.954787,BID3,PRORROGADO POR PAD,HÁ/HOUVE PAD,2001-08-29 00:00:00,,2004-08-29 00:00:00,2009-02-28 00:00:00,2009-08-29 00:00:00,28/11/2026,2026-11-28 00:00:00,0,7,"1-BRSA-559-RJS, 1-BRSA-559A-RJS, 3-BRSA-1183-RJS, 3-BRSA-1183i-RJS, 3-BRSA-1246-RJS, 3-BRSA-967-RJS, 3-BRSA-967A-RJS"
C-M-101,486100079742004,Petro Rio Jaguar,"*Petro Rio Jaguar - 64.286%, IBV Brasil Petróleo - 35.714%",Campos,MAR,0.06417700000000001,BID6,PRORROGADO POR PAD,HÁ/HOUVE PAD,2004-11-24 00:00:00,,2009-05-24 00:00:00,2010-11-24 00:00:00,,30/03/2023,2023-03-30 00:00:00,2287,7,"1-APL-1-ESS, 1-APL-2-ESS, 1-APL-2DA-ESS, 1-APL-3-ESS, 1-KMG-3-ESS, 3-APL-6-ESS, 3-APL-7D-ESS"
C-M-210,48610012634201718,Petrobras,"*Petrobras - 50%, ExxonMobil Brasil - 50%",Campos,MAR,0.30977,BID14,1º PE,NÃO HÁ/HOUVE PAD,2018-01-29 00:00:00,,2025-01-29 00:00:00,,,,2025-01-29 00:00:00,90,0,
C-M-277,48610012633201765,Petrobras,"*Petrobras - 50%, ExxonMobil Brasil - 50%",Campos,MAR,0.661471,BID14,1º PE,NÃO HÁ/HOUVE PAD,2018-01-29 00:00:00,,2025-01-29 00:00:00,,,,2025-01-29 00:00:00,184,0,
C-M-344,48610012629201705,Petrobras,"*Petrobras - 50%, ExxonMobil Brasil - 50%",Campos,MAR,0.49224,BID14,1º PE,NÃO HÁ/HOUVE PAD,2018-01-29 00:00:00,,2025-01-29 00:00:00,,,,2025-01-29 00:00:00,85,0,
C-M-346,48610012632201711,Petrobras,"*Petrobras - 50%, ExxonMobil Brasil - 50%",Campos,MAR,0.711521,BID14,1º PE,NÃO HÁ/HOUVE PAD,2018-01-29 00:00:00,,2025-01-29 00:00:00,,,,2025-01-29 00:00:00,2124,1,1-BRSA-1380D-RJS
C-M-37,48610012635201754,ExxonMobil Brasil,*ExxonMobil Brasil - 100%,Campos,MAR,0.718865,BID14,1º PE,NÃO HÁ/HOUVE PAD,2018-01-29 00:00:00,,2025-10-29 00:00:00,,,,2025-10-29 00:00:00,208,0,
C-M-411,48610012622201785,Petrobras,"*Petrobras - 50%, ExxonMobil Brasil - 50%",Campos,MAR,0.71025,BID14,1º PE,NÃO HÁ/HOUVE PAD,2018-01-29 00:00:00,,2025-01-29 00:00:00,,,,2025-01-29 00:00:00,1124,1,1-BRSA-1377-RJS
C-M-413,48610012624201774,Petrobras,"*Petrobras - 50%, ExxonMobil Brasil - 50%",Campos,MAR,0.71025,BID14,1º PE,NÃO HÁ/HOUVE PAD,2018-01-29 00:00:00,,2025-01-29 00:00:00,,,,2025-01-29 00:00:00,150,0,
C-M-477,48610221672201913,Petrobras,"*Petrobras - 70%, BP Energy - 30%",Campos,MAR,1.3625399999999999,BID16,1º PE,NÃO HÁ/HOUVE PAD,2020-02-14 00:00:00,,2027-02-14 00:00:00,,,,2027-02-14 00:00:00,1371,0,
C-M-479,48610221675201957,ExxonMobil Brasil,*ExxonMobil Brasil - 100%,Campos,MAR,0.70897,BID16,1º PE,NÃO HÁ/HOUVE PAD,2020-02-14 00:00:00,,2027-11-14 00:00:00,,,,2027-11-14 00:00:00,245,0,
C-M-539,48610009157200561,Equinor Energy,"*Equinor Energy - 35%, Repsol Sinopec - 35%, Petrobras - 30%",Campos,MAR,0.707673,BID7,PRORROGADO POR PAD,HÁ/HOUVE PAD,2006-01-12 00:00:00,,2010-08-26 00:00:00,2012-08-26 00:00:00,,20/09/2023,2023-09-20 00:00:00,2133,10,"1-REPF-11-RJS, 1-REPF-11A-RJS, 1-REPF-12D-RJS, 1-REPF-5-RJS, 3-REPF-14-RJS, 3-REPF-15D-RJS, 3-REPF-15DA-RJS, 3-REPF-16D-RJS, 3-REPF-17-RJS, 6-REPF-6P-RJS"
C-M-541,48610221673201968,TotalEnergies EP,"*TotalEnergies EP - 40%, QatarEnergy - 40%, Petronas - 20%",Campos,MAR,2.5034,BID16,1º PE,NÃO HÁ/HOUVE PAD,2020-02-14 00:00:00,,2027-02-14 00:00:00,,,,2027-02-14 00:00:00,2681,2,"1-TOT-2-RJS, 1-TOT-3-RJS"
C-M-61,486100079762004,Petro Rio Jaguar,"*Petro Rio Jaguar - 60%, TotalEnergies EP - 40%",Campos,MAR,0.12197100000000001,BID6,PRORROGADO POR PAD,HÁ/HOUVE PAD,2004-11-24 00:00:00,,2010-06-30 00:00:00,2010-11-24 00:00:00,,30/03/2023,2023-03-30 00:00:00,2196,5,"1-DEV-15-ESS, 1-DEV-15A-ESS, 1-DEV-8-ESS, 3-BP-4-ESS, 3-BP-9-ESS"
C-M-657,48610005772201813,Petrobras,"*Petrobras - 30%, ExxonMobil Brasil - 40%, Equinor Brasil - 30%",Campos,MAR,0.45082,BID15,1º PE,NÃO HÁ/HOUVE PAD,2018-09-11 00:00:00,,2025-09-11 00:00:00,,,,2025-09-11 00:00:00,1075,1,1-BRSA-1376D-RJS
C-M-659,48610221674201911,Shell Brasil,"*Shell Brasil - 40%, Chevron Brasil Óleo - 35%, QatarEnergy - 25%",Campos,MAR,1.1079400000000001,BID16,1º PE,NÃO HÁ/HOUVE PAD,2020-02-14 00:00:00,,2027-11-14 00:00:00,,,,2027-11-14 00:00:00,1324,0,
C-M-661,48610221676201900,Petronas,*Petronas - 100%,Campos,MAR,0.7050299999999999,BID16,1º PE,NÃO HÁ/HOUVE PAD,2020-02-14 00:00:00,,2027-02-14 00:00:00,,,,2027-02-14 00:00:00,1192,0,
C-M-67,48610012636201707,ExxonMobil Brasil,*ExxonMobil Brasil - 100%,Campos,MAR,0.717675,BID14,1º PE,NÃO HÁ/HOUVE PAD,2018-01-29 00:00:00,,2025-10-29 00:00:00,,,,2025-10-29 00:00:00,208,0,
C-M-709,48610005777201846,Petrobras,"*Petrobras - 40%, ExxonMobil Brasil - 40%, Equinor Brasil - 20%",Campos,MAR,0.87375,BID15,1º PE,NÃO HÁ/HOUVE PAD,2018-09-11 00:00:00,,2025-09-11 00:00:00,,,,2025-09-11 00:00:00,1253,1,1-BRSA-1378-RJS
C-M-713,48610221678201991,Shell Brasil,"*Shell Brasil - 40%, Chevron Brasil Óleo - 35%, QatarEnergy - 25%",Campos,MAR,0.70369,BID16,1º PE,NÃO HÁ/HOUVE PAD,2020-02-14 00:00:00,,2027-11-14 00:00:00,,,,2027-11-14 00:00:00,206,0,
C-M-715,48610221677201946,Petronas,*Petronas - 100%,Campos,MAR,0.70369,BID16,1º PE,NÃO HÁ/HOUVE PAD,2020-02-14 00:00:00,,2027-02-14 00:00:00,,,,2027-02-14 00:00:00,1191,0,
C-M-753,48610005778201891,ExxonMobil Brasil,"*ExxonMobil Brasil - 40%, Petrobras - 30%, QatarEnergy - 30%",Campos,MAR,0.66871,BID15,1º PE,NÃO HÁ/HOUVE PAD,2018-09-11 00:00:00,,2026-06-11 00:00:00,,,,2026-06-11 00:00:00,170,0,
C-M-755,48610005695201800,BP Energy,"*BP Energy - 60%, Equinor Brasil - 40%",Campos,MAR,0.7023400000000001,BID15,1º PE,NÃO HÁ/HOUVE PAD,2018-11-07 00:00:00,,2026-08-07 00:00:00,,,,2026-08-07 00:00:00,200,0,
C-M-757,48610204668202113,Shell Brasil,*Shell Brasil - 100%,Campos,MAR,0.7023400000000001,OP2_BE,1º PE,NÃO HÁ/HOUVE PAD,2021-06-28 00:00:00,,2028-06-28 00:00:00,,,,2028-06-28 00:00:00,165,0,
