POÇO ANP,BLOCO,BACIA,ESTADO,AMBIENTE,OPERADOR,INÍCIO DA PERFURAÇÃO,CONCLUSÃO DO POÇO,NOTIFICAÇÃO DE DESCOBERTA ?,DATA DA NOTIFICAÇÃO DE DESCOBERTA
3-ENV-46D-AM,AM-T-85,Amazonas,AM,TERRA,Eneva,2023-11-01 00:00:00,,Não,
3-POT-2-RN,POT-T-702,Potiguar,RN,TERRA,Potiguar E&P S.A.,2023-09-17 09:00:00,2023-09-20 00:00:00,Não,
1-BGM-10-ES,ES-T-506,Espírito Santo,ES,TERRA,BGM,2023-09-15 18:20:00,,Sim,2023-10-15 00:00:00
4-ENV-45-MA,PN-T-66,Parnaíba,MA,TERRA,Eneva,2023-08-10 06:00:00,2023-09-18 00:00:00,Sim,2023-09-19 00:00:00
3-ENV-43D-AM,AM-T-84,Amazonas,AM,TERRA,Eneva,2023-07-20 18:00:00,2023-08-19 00:00:00,Sim,2023-08-18 00:00:00
1-ENV-44-MA,PN-T-102A,Parnaíba,MA,TERRA,Eneva,2023-07-18 12:00:00,2023-10-05 00:00:00,Sim,2023-10-06 00:00:00
3-BRSA-1388DA-SPS,S-M-623,Santos,SP,MAR,Petrobras,2023-07-16 06:17:00,,Sim,2023-10-30 00:00:00
1-ENV-42-MA,PN-T-102A,Parnaíba,MA,TERRA,Eneva,2023-06-25 00:00:00,,Sim,2023-10-20 00:00:00
1-SHEL-35A-RJS,C-M-659,Campos,RJ,MAR,Shell Brasil,2023-06-24 19:00:00,2023-09-17 00:00:00,Sim,2023-09-11 00:00:00
1-SHEL-35-RJS,C-M-659,Campos,RJ,MAR,Shell Brasil,2023-06-23 15:30:00,2023-06-24 00:00:00,Não,
3-BRSA-1388D-SPS,S-M-623,Santos,SP,MAR,Petrobras,2023-06-15 02:30:00,2023-07-07 00:00:00,Não,
1-IMET-30D-BA,REC-T-99,Recôncavo,BA,TERRA,Imetame,2023-05-13 15:30:00,2023-07-16 00:00:00,Sim,2023-07-07 00:00:00
3-ENV-41D-AM,AM-T-85,Amazonas,AM,TERRA,Eneva,2023-04-29 12:00:00,2023-05-22 00:00:00,Sim,2023-05-22 00:00:00
1-BGM-9-ES,ES-T-345,Espírito Santo,ES,TERRA,BGM,2023-04-22 06:00:00,2023-06-04 00:00:00,Sim,2023-05-24 00:00:00
3-ENV-40D-AM,AM-T-85,Amazonas,AM,TERRA,Eneva,2023-03-31 18:00:00,2023-04-23 00:00:00,Sim,2023-04-24 00:00:00
3-BRSA-1387D-SPS,ARAM,Santos,SP,MAR,Petrobras,2023-03-18 00:00:00,2023-07-25 00:00:00,Sim,2023-06-09 00:00:00
3-ENV-39D-AM,AM-T-85,Amazonas,AM,TERRA,Eneva,2023-02-18 12:00:00,2023-03-26 00:00:00,Sim,2023-03-28 00:00:00
1-BGM-8-ES,ES-T-506,Espírito Santo,ES,TERRA,BGM,2023-02-14 05:20:00,2023-04-10 00:00:00,Sim,2023-05-29 00:00:00
1-BGM-7-ES,ES-T-506,Espírito Santo,ES,TERRA,BGM,2022-10-28 10:30:00,2023-01-31 00:00:00,Sim,2023-01-18 00:00:00
3-ENV-38-MA,PN-T-102A,Parnaíba,MA,TERRA,Eneva,2022-10-04 18:00:00,2022-10-19 00:00:00,Sim,2022-10-19 00:00:00
1-POT-1-RN,POT-T-702,Potiguar,RN,TERRA,Potiguar E&P S.A.,2022-09-26 23:00:00,2022-10-21 00:00:00,Sim,2022-09-30 00:00:00
3-ENV-37D-MA,PN-T-102A,Parnaíba,MA,TERRA,Eneva,2022-09-19 00:00:00,2022-09-30 00:00:00,Sim,2022-10-07 00:00:00
1-BGM-6-ES,ES-T-506,Espírito Santo,ES,TERRA,BGM,2022-08-18 18:30:00,2022-10-18 00:00:00,Sim,2022-09-20 00:00:00
1-TOT-3-RJS,C-M-541,Campos,RJ,MAR,TotalEnergies EP,2022-08-04 12:07:00,,Sim,2023-10-13 00:00:00
1-ENV-36-MA,PN-T-67A,Parnaíba,MA,TERRA,Eneva,2022-07-22 00:00:00,2022-08-16 00:00:00,Sim,2022-08-17 00:00:00
1-BRSA-1385A-ESS,ES-M-596,Espírito Santo,ES,MAR,Petrobras,2022-07-19 04:50:00,2022-08-24 00:00:00,Não,
1-BRSA-1385-ESS,ES-M-596,Espírito Santo,ES,MAR,Petrobras,2022-06-20 08:30:00,2022-07-17 00:00:00,Não,
3-ENV-35D-AM,AM-T-84,Amazonas,AM,TERRA,Eneva,2022-06-17 06:00:00,2022-07-14 00:00:00,Sim,2022-07-14 00:00:00
1-ALV-15-BA,REC-T-183,Recôncavo,BA,TERRA,Alvopetro,2022-06-05 10:30:00,2022-07-12 00:00:00,Sim,2022-07-07 00:00:00
3-ENV-34-MA,PN-T-102A,Parnaíba,MA,TERRA,Eneva,2022-05-15 00:00:00,2022-05-26 00:00:00,Sim,2022-05-27 00:00:00
3-ENV-33D-AM,AM-T-84,Amazonas,AM,TERRA,Eneva,2022-05-08 12:00:00,2022-05-30 00:00:00,Sim,2022-05-30 00:00:00
3-ENV-32D-MA,PN-T-102A,Parnaíba,MA,TERRA,Eneva,2022-03-29 12:00:00,2022-04-17 00:00:00,Sim,2022-04-20 00:00:00
1-ENV-31D-AM,AM-T-85,Amazonas,AM,TERRA,Eneva,2022-03-21 12:00:00,2022-04-23 00:00:00,Sim,2022-04-22 00:00:00
1-BGM-5-ES,ES-T-496,Espírito Santo,ES,TERRA,BGM,2022-03-16 03:30:00,2022-05-11 00:00:00,Sim,2022-04-07 00:00:00
1-BRSA-1384-RJS,2_IRMAOS,Campos,RJ,MAR,Petrobras,2022-03-11 08:30:00,2022-05-05 00:00:00,Não,
